work,book_names,book_summary,book_category
1,10 Days To Faster Reading,"1-Sentence-Summary:聽10 Days To Faster Reading helps you聽bring your reading skills to the current century, even if you鈥檝e stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better.",['Self Improvement']
2,10% Happier,"1-Sentence-Summary:聽10% Happier gives skeptics an easy 鈥渋n鈥?to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life.",['Self Improvement']
3,12 Rules For Life,"1-Sentence-Summary:聽12 Rules For Life is a stern, story-based, entertaining self-help manual for young people, that lays out a set of simple principles, which can help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.","['Communication Skills', 'Creativity', 'Culture', 'Happiness', 'Health', 'Motivation & Inspiration', 'Philosophy', 'Productivity', 'Psychology', 'Relationships', 'Self Improvement', 'Society', 'Success', 'Work']"
4,13 Things Mentally Strong Parents Don鈥檛 Do,"1-Sentence-Summary: 13 Things Mentally Strong Parents Don鈥檛 Do teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.","['Communication Skills', 'Happiness', 'Parenting', 'Psychology', 'Relationships', 'Self Improvement']"
5,13 Things Mentally Strong People Don鈥檛 Do,"1-Sentence-Summary: 13 Things Mentally Strong People Don鈥檛 Do started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.",['Self Improvement']
6,21 Days To A Big Idea,"1-Sentence-Summary:聽21 Days To A Big Idea shows you how to combine the creative and rational sides of your brain to come up with cool, new ideas and fun ways to implement them, which might even help you create a sustainable business in the long run, in as little as 21 days.",['Entrepreneurship']
7,21 Lessons For The 21st Century,"1-Sentence-Summary:聽21 Lessons For The 21st Century highlights today鈥檚 most pressing political, cultural, and economic challenges created by technology聽while helping us prepare for an uncertain future.",['Self Improvement']
8,23 Things They Don鈥檛 Tell You About Capitalism,1-Sentence-Summary: 23 Things They Don鈥檛 Tell You About Capitalism will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world.,"['Business', 'Economics', 'Entrepreneurship', 'Money', 'Personal Finance', 'Politics']"
9,30 Lessons For Loving,1-Sentence-Summary: 30 Lessons For Loving gives the relationship advice of hundreds of couples who have stayed together into old age and will teach you how to have happiness and longevity in your love life.,"['Communication Skills', 'Happiness', 'Relationships', 'Self Improvement', 'Sex', 'Society']"
10,59 Seconds,"1-Sentence-Summary:聽59 Seconds shows you several self-improvement hacks, grounded in the science of psychology, which you can use to improve your mindset, happiness and life in less than a minute.",['Self Improvement']
11,60 Seconds & You鈥檙e Hired!,"1-Sentence-Summary: 60 Seconds & You鈥檙e Hired! is a guide to getting your dream job that will help you feel confident in your next interview by teaching you how to impress your interviewer with being concise, focusing on your strengths, and knowing what to do at every step of the process.","['Business', 'Career', 'Communication Skills', 'Money', 'Personal Finance', 'Productivity', 'Self Improvement', 'Success', 'Work']"
12,7 Strategies For Wealth And Happiness,"1-Sentence-Summary: 7 Strategies For Wealth And Happiness is the ultimate guide to improving your wealth through self-discipline, action, and a positive attitude toward work, money, and the people around you.","['Business', 'Career', 'Entrepreneurship', 'Happiness', 'Mindfulness', 'Money', 'Motivation & Inspiration', 'Personal Finance', 'Productivity', 'Self Improvement', 'Success', 'Work']"
13,A Beautiful Mind,"1-Sentence-Summary: A Beautiful Mind tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr.","['Biography', 'Economics', 'History', 'Psychology', 'Science', 'Success']"
14,A Beginner鈥檚 Guide To The End,"1-Sentence-Summary: A Beginner鈥檚 Guide To The End is your guide to using the principles of stillness, cleaning, and grief to prepare for your own or a loved one鈥檚 death.","['Health', 'Mindfulness', 'Philosophy', 'Relationships', 'Society']"
15,A Brief History Of Everyone Who Ever Lived,1-Sentence-Summary: A Brief History Of Everyone Who Ever Lived gives you another important perspective on mankind鈥檚 past and present through the lens of our genes.,"['Culture', 'History', 'Science', 'Society']"
16,A Brief History Of Time,"1-Sentence-Summary:聽A Brief History Of Time is Stephen Hawking鈥檚 way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it鈥檚 going.",['Self Improvement']
17,A Crack In Creation,"1-Sentence-Summary: A Crack In Creation will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans.","['Future', 'Health', 'Philosophy', 'Politics', 'Science', 'Society', 'Technology']"
18,A Curious Mind,"1-Sentence-Summary:聽A Curious Mind is an homage to the power of asking questions, showing you how being curious can change your entire life, from the way you do business, to how you interact with your loved ones, or even shape your country.","['Entrepreneurship', 'Self Improvement']"
19,A First-Rate Madness,"1-Sentence-Summary: A First-Rate Madness shares the stories of many world leaders and explains how they prevailed despite their mental illnesses and struggles, showing you how to turn your psychological disadvantages into leadership strengths.",['Self Improvement']
20,A Force For Good,"1-Sentence-Summary:聽A Force For Good is a universal call to turn our聽compassion outward and use it to improve ourselves and the world around us in science, religion, social issues, business and education.",['Self Improvement']
21,A General Theory Of Love,1-Sentence-Summary: A General Theory Of Love will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions.,"['Happiness', 'Psychology', 'Relationships', 'Science', 'Society']"
22,A Guide To The Good Life,"1-Sentence-Summary:聽A Guide To The Good Life is a roadmap for Stoicism, showing you how you can cultivate this ancient philosophy in your own life, why it鈥檚 useful and what Stoics are really about.",['Self Improvement']
23,A History Of The World In 6 Glasses,"1-Sentence-Summary: A History Of The World In 6 Glasses will give you some great conversation starters at your next party by teaching you the origins and impact of the worlds six favorite drinks, including beer, wine, alcoholic spirits, tea, coffee, and soda.","['Culture', 'History', 'Society']"
24,A Message To Garcia,1-Sentence-Summary: A Message To Garcia teaches you how to be the best at your job by becoming a dedicated worker with a good attitude about whatever tasks your company gives you.,"['Business', 'Career', 'Happiness', 'History', 'Motivation & Inspiration', 'Philosophy', 'Productivity', 'Self Improvement', 'Success', 'Work']"
25,A Mind For Numbers,"1-Sentence-Summary: A Mind For Numbers will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don鈥檛 come naturally to you.","['Career', 'Productivity', 'Psychology', 'Science', 'Self Improvement']"
26,A Monk鈥檚 Guide To Happiness,1-Sentence-Summary: A Monk鈥檚 Guide To Happiness will help you find more joy in life by identifying the mental pitfalls you fall into that make it so hard to have and how to shatter the shackles of suffering to finally find inner peace.,"['Happiness', 'Mindfulness', 'Self Improvement', 'Spirituality']"
27,A More Beautiful Question,"1-Sentence-Summary: A More Beautiful Question will teach you how to ask more and better questions, showing you the power that the right questions have to transform your life for the better.","['Business', 'Career', 'Communication Skills', 'Creativity', 'Entrepreneurship', 'Happiness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success', 'Work']"
28,A New Earth,"1-Sentence-Summary:聽A New Earth outlines a crazy and destructive place we call home, but not without showing us that we can all save it together, by looking into our minds and detaching ourselves from our ego, so we can practice acceptance and enjoyment.",['Self Improvement']
29,A People鈥檚 History Of The United States,"1-Sentence-Summary: A People鈥檚 History Of The United States will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America鈥檚 rise to power.","['Economics', 'History', 'Politics']"
