,0
0,",0
#"
1,"0,0
#"
2,"1,0 1-sentence-summary 10 day to faster reading help you bring your reading skill to the current century even if you ve stopped developing them like most of u with the end of elementary school by helping you select what to read in a better way and giving you actionable technique to read and retain faster and better
#"
3,"2,1 1-sentence-summary 10 happier give skeptic an easy in to meditation by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life
#"
4,"3,2 1-sentence-summary 12 rule for life is a stern story-based entertaining self-help manual for young people that lay out a set of simple principle which can help u become more disciplined behave better act with integrity and balance our life while enjoying them a much a we can
#"
5,"4,3 1-sentence-summary 13 thing mentally strong parent don t do teach parent how to stop being a roadblock to their kid academic behavioral and emotional success by outlining way to develop the right thinking habit
#"
6,"5,4 1-sentence-summary 13 thing mentally strong people don t do started a a personal reminder to not give in to bad habit in the face of adversity but turned into a psychological guidebook to help you improve your mental strength and emotional resilience
#"
7,"6,5 1-sentence-summary 21 day to a big idea show you how to combine the creative and rational side of your brain to come up with cool new idea and fun way to implement them which might even help you create a sustainable business in the long run in a little a 21 day
#"
8,"7,6 1-sentence-summary 21 lesson for the 21st century highlight today s most pressing political cultural and economic challenge created by technology while helping u prepare for an uncertain future
#"
9,"8,""7,1-sentence-summary 23 thing they don t tell you about capitalism will help you think more clearly about our current economic state by uncovering the hidden consequence of free-market capitalism and offering solution that could give u all a more fair world""
#"
10,"9,""8,1-sentence-summary 30 lesson for loving give the relationship advice of hundred of couple who have stayed together into old age and will teach you how to have happiness and longevity in your love life""
#"
11,"10,9 1-sentence-summary 59 second show you several self-improvement hack grounded in the science of psychology which you can use to improve your mindset happiness and life in le than a minute
#"
12,"11,10 1-sentence-summary 60 second you re hired is a guide to getting your dream job that will help you feel confident in your next interview by teaching you how to impress your interviewer with being concise focusing on your strength and knowing what to do at every step of the process
#"
13,"12,11 1-sentence-summary 7 strategy for wealth and happiness is the ultimate guide to improving your wealth through self-discipline action and a positive attitude toward work money and the people around you
#"
14,"13,12 1-sentence-summary a beautiful mind tell the fascinating story of the mathematical genius mental illness and miraculous recovery and success of john nash jr
#"
15,"14,13 1-sentence-summary a beginner s guide to the end is your guide to using the principle of stillness cleaning and grief to prepare for your own or a loved one s death
#"
16,"15,""14,1-sentence-summary a brief history of everyone who ever lived give you another important perspective on mankind s past and present through the lens of our gene""
#"
17,"16,15 1-sentence-summary a brief history of time is stephen hawking s way of explaining the most complex concept and idea of physic such a space time black hole planet star and gravity to the average joe so that even you and i can better understand how our planet wa created where it came from and where it s going
#"
18,"17,16 1-sentence-summary a crack in creation will teach you all about the power of gene editing that is made possible with crispr by detailing how it work the benefit and opportunity it open up and the ethical risk of using it on human
#"
19,"18,17 1-sentence-summary a curious mind is an homage to the power of asking question showing you how being curious can change your entire life from the way you do business to how you interact with your loved one or even shape your country
#"
20,"19,18 1-sentence-summary a first-rate madness share the story of many world leader and explains how they prevailed despite their mental illness and struggle showing you how to turn your psychological disadvantage into leadership strength
#"
21,"20,19 1-sentence-summary a force for good is a universal call to turn our compassion outward and use it to improve ourselves and the world around u in science religion social issue business and education
#"
22,"21,""20,1-sentence-summary a general theory of love will help you reprogram your mind for better emotional intelligence and relationship by teaching you what three psychiatrist have to say about the science of why we experience love and other emotion""
#"
23,"22,21 1-sentence-summary a guide to the good life is a roadmap for stoicism showing you how you can cultivate this ancient philosophy in your own life why it s useful and what stoic are really about
#"
