,book,response
0,Dataclysm,Dataclysm gives powerful motivation for being more honest online by using information collected from the internet to identify what all of us are really like under the veil of anonymity and how we as a society have changed recently.
1,Upheaval,"Upheaval enlightens you by telling the stories of seven countries that fell into crises, including how they got there and what they did to get out, and identifies the common threads between all of them."
2,Radical Candor,"Radical Candor is the ultimate guide to becoming a great leader, manager, or boss, and will teach you how to connect with people, push them to be their best, know when and how to fire them, and create an environment of trust and innovation at work."
3,Radical Candor,"Radical Candor is the ultimate guide to becoming a great leader, manager, or boss, and will teach you how to connect with people, push them to be their best, know when and how to fire them, and create an environment of trust and innovation at work."
4,Hillbilly Elegy,Hillbilly Elegy is the inspiring autobiography of J.D. Vance who explains how his life began in poverty and turbulence and what he had to do to beat those difficult circumstances and rise to success.
5,Mind Over Clutter,"Mind Over Clutter helps you take steps to improve your mental health, physical health, and the environment by showing you why having too much junk is so bad for you and outlining how to get rid of it all."
6,no title,"You want to read more. You are. You’re on this site. You’re reading book summaries. That’s great! But you also want to learn faster, remember better, and be able to tell what’s important from what’s not."
7,no title,
8,10 Days To Faster Reading," 10 Days To Faster Reading helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better."
9,10% Happier," 10% Happier gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life."
10,12 Rules For Life," 12 Rules For Life is a stern, story-based, and entertaining self-help manual for young people that lays out a set of simple principles that can help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can."
11,13 Things Mentally Strong Parents Don’t Do,"13 Things Mentally Strong Parents Don’t Do teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits."
12,13 Things Mentally Strong People Don’t Do,"13 Things Mentally Strong People Don’t Do started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience."
